#1
double AHU(8760, 5)
3600	293.15	0.45	0.65	0.0
7200	293.15	0.45	0.65	0.0
10800	293.15	0.45	0.65	0.0
14400	293.15	0.45	0.65	0.0
18000	293.15	0.45	0.65	0.0
21600	293.15	0.45	0.65	0.0
25200	293.15	0.45	0.65	0.0
28800	295.15	0.45	0.65	1.0
32400	295.15	0.45	0.65	1.0
36000	295.15	0.45	0.65	1.0
39600	295.15	0.45	0.65	1.0
43200	295.15	0.45	0.65	1.0
46800	295.15	0.45	0.65	1.0
50400	295.15	0.45	0.65	1.0
54000	295.15	0.45	0.65	1.0
57600	295.15	0.45	0.65	1.0
61200	295.15	0.45	0.65	1.0
64800	295.15	0.45	0.65	1.0
68400	295.15	0.45	0.65	1.0
72000	293.15	0.45	0.65	0.0
75600	293.15	0.45	0.65	0.0
79200	293.15	0.45	0.65	0.0
82800	293.15	0.45	0.65	0.0
86400	293.15	0.45	0.65	0.0
90000	293.15	0.45	0.65	0.0
93600	293.15	0.45	0.65	0.0
97200	293.15	0.45	0.65	0.0
100800	293.15	0.45	0.65	0.0
104400	293.15	0.45	0.65	0.0
108000	293.15	0.45	0.65	0.0
111600	293.15	0.45	0.65	0.0
115200	295.15	0.45	0.65	1.0
118800	295.15	0.45	0.65	1.0
122400	295.15	0.45	0.65	1.0
126000	295.15	0.45	0.65	1.0
129600	295.15	0.45	0.65	1.0
133200	295.15	0.45	0.65	1.0
136800	295.15	0.45	0.65	1.0
140400	295.15	0.45	0.65	1.0
144000	295.15	0.45	0.65	1.0
147600	295.15	0.45	0.65	1.0
151200	295.15	0.45	0.65	1.0
154800	295.15	0.45	0.65	1.0
158400	293.15	0.45	0.65	0.0
162000	293.15	0.45	0.65	0.0
165600	293.15	0.45	0.65	0.0
169200	293.15	0.45	0.65	0.0
172800	293.15	0.45	0.65	0.0
176400	293.15	0.45	0.65	0.0
180000	293.15	0.45	0.65	0.0
183600	293.15	0.45	0.65	0.0
187200	293.15	0.45	0.65	0.0
190800	293.15	0.45	0.65	0.0
194400	293.15	0.45	0.65	0.0
198000	293.15	0.45	0.65	0.0
201600	295.15	0.45	0.65	1.0
205200	295.15	0.45	0.65	1.0
208800	295.15	0.45	0.65	1.0
212400	295.15	0.45	0.65	1.0
216000	295.15	0.45	0.65	1.0
219600	295.15	0.45	0.65	1.0
223200	295.15	0.45	0.65	1.0
226800	295.15	0.45	0.65	1.0
230400	295.15	0.45	0.65	1.0
234000	295.15	0.45	0.65	1.0
237600	295.15	0.45	0.65	1.0
241200	295.15	0.45	0.65	1.0
244800	293.15	0.45	0.65	0.0
248400	293.15	0.45	0.65	0.0
252000	293.15	0.45	0.65	0.0
255600	293.15	0.45	0.65	0.0
259200	293.15	0.45	0.65	0.0
262800	293.15	0.45	0.65	0.0
266400	293.15	0.45	0.65	0.0
270000	293.15	0.45	0.65	0.0
273600	293.15	0.45	0.65	0.0
277200	293.15	0.45	0.65	0.0
280800	293.15	0.45	0.65	0.0
284400	293.15	0.45	0.65	0.0
288000	295.15	0.45	0.65	1.0
291600	295.15	0.45	0.65	1.0
295200	295.15	0.45	0.65	1.0
298800	295.15	0.45	0.65	1.0
302400	295.15	0.45	0.65	1.0
306000	295.15	0.45	0.65	1.0
309600	295.15	0.45	0.65	1.0
313200	295.15	0.45	0.65	1.0
316800	295.15	0.45	0.65	1.0
320400	295.15	0.45	0.65	1.0
324000	295.15	0.45	0.65	1.0
327600	295.15	0.45	0.65	1.0
331200	293.15	0.45	0.65	0.0
334800	293.15	0.45	0.65	0.0
338400	293.15	0.45	0.65	0.0
342000	293.15	0.45	0.65	0.0
345600	293.15	0.45	0.65	0.0
349200	293.15	0.45	0.65	0.0
352800	293.15	0.45	0.65	0.0
356400	293.15	0.45	0.65	0.0
360000	293.15	0.45	0.65	0.0
363600	293.15	0.45	0.65	0.0
367200	293.15	0.45	0.65	0.0
370800	293.15	0.45	0.65	0.0
374400	295.15	0.45	0.65	1.0
378000	295.15	0.45	0.65	1.0
381600	295.15	0.45	0.65	1.0
385200	295.15	0.45	0.65	1.0
388800	295.15	0.45	0.65	1.0
392400	295.15	0.45	0.65	1.0
396000	295.15	0.45	0.65	1.0
399600	295.15	0.45	0.65	1.0
403200	295.15	0.45	0.65	1.0
406800	295.15	0.45	0.65	1.0
410400	295.15	0.45	0.65	1.0
414000	295.15	0.45	0.65	1.0
417600	293.15	0.45	0.65	0.0
421200	293.15	0.45	0.65	0.0
424800	293.15	0.45	0.65	0.0
428400	293.15	0.45	0.65	0.0
